WARNING 2025-05-16 12:21:45,796 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

DEBUG 2025-05-16 12:22:02,523 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 12:22:02,815 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:22:02,815 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 12:22:02,815 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:22:02,815 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 12:22:04,856 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

INFO 2025-05-16 12:22:28,245 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-16 12:22:29,880 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 12:22:30,204 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:22:30,204 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 12:22:30,204 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:22:30,204 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 12:22:32,209 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

INFO 2025-05-16 12:26:03,839 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-16 12:26:05,595 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 12:26:05,941 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:26:05,941 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 12:26:05,941 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:26:05,941 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 12:26:08,063 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

WARNING 2025-05-16 12:26:32,356 log Not Found: /verification
WARNING 2025-05-16 12:27:40,262 log Not Found: /api/verification
INFO 2025-05-16 12:28:29,357 autoreload C:\Users\PRUTHVEE RAJ\PROJECT\EduVerify\urls.py changed, reloading.
INFO 2025-05-16 12:28:30,424 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-16 12:28:32,222 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 12:28:32,516 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:28:32,516 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 12:28:32,516 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:28:32,516 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 12:28:34,639 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

WARNING 2025-05-16 12:29:01,018 log Not Found: /verification
WARNING 2025-05-16 12:29:19,862 log Not Found: /verification
INFO 2025-05-16 12:31:12,167 autoreload C:\Users\PRUTHVEE RAJ\PROJECT\EduVerify\urls.py changed, reloading.
INFO 2025-05-16 12:31:13,218 autoreload Watching for file changes with StatReloader
INFO 2025-05-16 12:31:47,732 autoreload C:\Users\PRUTHVEE RAJ\PROJECT\EduVerify\urls.py changed, reloading.
INFO 2025-05-16 12:31:48,270 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-16 12:31:50,189 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 12:31:50,559 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:31:50,559 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 12:31:50,559 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:31:50,559 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 12:31:52,601 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

WARNING 2025-05-16 12:32:08,628 log Not Found: /verification
WARNING 2025-05-16 12:34:30,898 log Method Not Allowed (GET): /verification/verify/
WARNING 2025-05-16 12:34:34,422 log Method Not Allowed (GET): /verification/verify/
WARNING 2025-05-16 12:34:35,179 log Method Not Allowed (GET): /verification/verify/
WARNING 2025-05-16 12:34:35,340 log Method Not Allowed (GET): /verification/verify/
WARNING 2025-05-16 12:34:35,525 log Method Not Allowed (GET): /verification/verify/
WARNING 2025-05-16 12:34:35,736 log Method Not Allowed (GET): /verification/verify/
INFO 2025-05-16 12:35:03,716 autoreload C:\Users\PRUTHVEE RAJ\PROJECT\EduVerify\urls.py changed, reloading.
INFO 2025-05-16 12:35:04,891 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-16 12:35:06,749 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 12:35:07,044 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:35:07,044 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 12:35:07,044 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:35:07,044 __init__ Creating converter from 5 to 7
